iter	Passed	Remaining
710	45147	18351
711	45209	18287
712	45274	18223
713	45335	18159
714	45403	18098
715	45484	18041
716	45562	17983
717	45626	17920
718	45691	17857
719	45790	17807
720	45864	17747
721	45949	17692
722	46018	17631
723	46078	17565
724	46138	17500
725	46192	17433
726	46277	17378
727	46378	17328
728	46483	17279
729	46554	17218
730	46618	17155
731	46678	17090
732	46754	17030
733	46825	16969
734	46926	16919
735	47042	16873
736	47118	16814
737	47184	16751
738	47251	16688
739	47323	16627
740	47420	16574
741	47582	16544
742	47644	16479
743	47690	16409
744	47762	16348
745	47820	16282
746	47904	16224
747	47966	16159
748	48013	16089
749	48070	16023
750	48156	15966
751	48247	15911
752	48357	15862
753	48430	15800
754	48503	15739
755	48556	15671
756	48610	15604
757	48653	15533
758	48699	15463
759	48778	15403
760	48857	15344
761	48919	15279
762	48999	15220
763	49069	15157
764	49148	15098
765	49214	15034
766	49279	14970
767	49348	14907
768	49398	14838
769	49452	14771
770	49512	14705
771	49592	14646
772	49641	14577
773	49726	14519
774	49785	14453
775	49840	14387
776	49912	14324
777	49979	14261
778	50048	14198
779	50104	14131
780	50175	14069
781	50228	14002
782	50272	13932
783	50346	13870
784	50433	13813
785	50509	13751
786	50556	13682
787	50607	13615
788	50692	13556
789	50739	13487
790	50796	13421
791	50853	13355
792	50907	13288
793	50951	13219
794	50996	13149
795	51049	13083
796	51099	13015
797	51166	12951
798	51212	12883
799	51309	12827
800	51374	12763
801	51444	12700
802	51494	12633
803	51552	12567
804	51616	12503
805	51673	12437
806	51776	12382
807	51867	12324
808	51929	12260
809	51994	12196
810	52059	12132
811	52142	12072
812	52215	12010
813	52274	11944
814	52353	11883
815	52416	11819
816	52474	11753
817	52529	11687
818	52631	11631
819	52691	11566
820	52749	11500
821	52799	11433
822	52873	11371
823	52956	11311
824	53024	11247
825	53083	11182
826	53136	11115
827	53178	11046
828	53256	10985
829	53316	10920
830	53370	10853
831	53439	10790
832	53481	10722
833	53545	10657
834	53605	10592
835	53659	10526
836	53726	10462
837	53784	10397
838	53830	10329
839	53878	10262
840	53946	10199
841	53984	10130
842	54052	10066
843	54108	10001
844	54163	9935
845	54220	9869
846	54281	9805
847	54346	9741
848	54396	9674
849	54447	9608
850	54513	9544
851	54556	9476
852	54625	9413
853	54667	9345
854	54721	9280
855	54802	9219
856	54869	9155
857	54926	9090
858	54979	9024
859	55031	8958
860	55116	8898
861	55177	8833
862	55228	8767
863	55284	8702
864	55345	8637
865	55431	8577
866	55484	8511
867	55579	8452
868	55711	8398
869	55781	8335
870	55837	8269
871	55887	8203
872	55946	8138
873	55988	8071
874	56082	8011
875	56133	7945
876	56193	7881
877	56243	7815
878	56323	7753
879	56377	7687
880	56454	7625
881	56513	7560
882	56573	7496
883	56633	7431
884	56679	7365
885	56754	7302
886	56811	7237
887	56877	7173
888	56963	7112
889	57046	7050
890	57139	6990
891	57204	6926
892	57310	6867
893	57374	6802
894	57480	6743
895	57559	6681
896	57606	6614
897	57652	6548
898	57707	6483
899	57786	6420
900	57885	6360
901	57967	6298
902	58047	6235
903	58133	6173
904	58213	6110
905	58282	6046
906	58336	5981
907	58403	5917
908	58455	5851
909	58523	5787
910	58585	5723
911	58655	5659
912	58717	5595
913	58766	5529
914	58813	5463
915	58873	5398
916	58934	5334
917	58998	5269
918	59087	5207
919	59147	5143
920	59192	5077
921	59247	5012
922	59313	4948
923	59358	4882
924	59430	4818
925	59477	4753
926	59532	4688
927	59598	4623
928	59646	4558
929	59698	4493
930	59757	4428
931	59805	4363
932	59870	4299
933	59928	4234
934	59985	4170
935	60021	4104
936	60065	4038
937	60110	3973
938	60163	3908
939	60200	3842
940	60241	3777
941	60274	3711
942	60313	3645
943	60347	3579
944	60381	3514
945	60411	3448
946	60444	3382
947	60471	3317
948	60500	3251
949	60527	3185
950	60555	3120
951	60578	3054
952	60605	2988
953	60625	2923
954	60647	2857
955	60673	2792
956	60699	2727
957	60726	2662
958	60758	2597
959	60784	2532
960	60809	2467
961	60837	2403
962	60874	2338
963	60900	2274
964	60928	2209
965	60953	2145
966	60978	2080
967	61010	2016
968	61043	1952
969	61071	1888
970	61093	1824
971	61110	1760
972	61129	1696
973	61148	1632
974	61165	1568
975	61185	1504
976	61205	1440
977	61237	1377
978	61258	1314
979	61279	1250
980	61300	1187
981	61320	1124
982	61337	1060
983	61356	997
984	61372	934
985	61387	871
986	61404	808
987	61419	745
988	61435	683
989	61451	620
990	61467	558
991	61481	495
992	61495	433
993	61508	371
994	61522	309
995	61535	247
996	61549	185
997	61562	123
998	61575	61
999	61589	0
0
