iter	Passed	Remaining
837	2444	472
838	2446	469
839	2448	466
840	2451	463
841	2453	460
842	2455	457
843	2457	454
844	2459	451
845	2461	447
846	2462	444
847	2465	441
848	2467	438
849	2470	435
850	2472	432
851	2474	429
852	2476	426
853	2477	423
854	2480	420
855	2482	417
856	2484	414
857	2486	411
858	2488	408
859	2490	405
860	2492	402
861	2494	399
862	2496	396
863	2498	393
864	2500	390
865	2503	387
866	2505	384
867	2507	381
868	2509	378
869	2511	375
870	2514	372
871	2517	369
872	2519	366
873	2522	363
874	2524	360
875	2527	357
876	2529	354
877	2532	351
878	2534	348
879	2536	345
880	2538	342
881	2540	339
882	2542	336
883	2544	333
884	2546	330
885	2548	327
886	2550	324
887	2552	321
888	2554	318
889	2556	315
890	2558	312
891	2560	309
892	2561	306
893	2563	303
894	2566	301
895	2568	298
896	2570	295
897	2572	292
898	2574	289
899	2576	286
900	2578	283
901	2580	280
902	2582	277
903	2585	274
904	2587	271
905	2589	268
906	2591	265
907	2593	262
908	2595	259
909	2597	256
910	2599	253
911	2601	251
912	2604	248
913	2607	245
914	2609	242
915	2611	239
916	2614	236
917	2617	233
918	2619	230
919	2621	227
920	2624	225
921	2626	222
922	2629	219
923	2631	216
924	2634	213
925	2636	210
926	2638	207
927	2642	204
928	2644	202
929	2646	199
930	2649	196
931	2651	193
932	2653	190
933	2656	187
934	2658	184
935	2660	181
936	2662	178
937	2664	176
938	2666	173
939	2669	170
940	2671	167
941	2674	164
942	2676	161
943	2678	158
944	2680	156
945	2683	153
946	2686	150
947	2688	147
948	2691	144
949	2693	141
950	2696	138
951	2699	136
952	2702	133
953	2705	130
954	2708	127
955	2711	124
956	2713	121
957	2716	119
958	2718	116
959	2720	113
960	2722	110
961	2724	107
962	2727	104
963	2729	101
964	2731	99
965	2734	96
966	2736	93
967	2738	90
968	2741	87
969	2743	84
970	2745	82
971	2748	79
972	2751	76
973	2753	73
974	2756	70
975	2759	67
976	2761	65
977	2764	62
978	2767	59
979	2769	56
980	2772	53
981	2775	50
982	2778	48
983	2781	45
984	2783	42
985	2786	39
986	2788	36
987	2791	33
988	2793	31
989	2795	28
990	2798	25
991	2801	22
992	2803	19
993	2805	16
994	2807	14
995	2809	11
996	2811	8
997	2814	5
998	2816	2
999	2818	0
